Time;NumMsgSent;Distance;NodesLost;Targets_left
378,1568;6287;1179,014;1;0
257,8243;3852;1115,508;1;0
217,6616;3625;753,6926;1;0
600,0097;6855;1605,915;6;1
586,2802;6449;1260,287;2;0
265,5921;3998;1119,786;1;0
332,7213;4720;1180,723;1;0
261,5814;4343;861,7477;1;0
176,2655;2701;801,8215;1;0
193,4987;4403;990,5131;0;0
184,3351;2819;818,5405;1;0
174,267;4100;888,787;0;0
180,0656;2723;799,0698;1;0
172,3892;4068;886,8951;0;0
216,8327;4181;822,0708;1;0
329,3933;4649;1172,082;1;0
343,2137;4851;1221,236;1;0
170,8609;4018;865,6274;0;0
212,8531;3327;911,1274;1;0
166,4819;3956;876,473;0;0
336,4929;5476;1245,797;1;0
211,4599;3274;948,4591;1;0
187,3016;4323;940,5703;0;0
316,5043;4701;999,4282;1;0
172,328;4068;880,8833;0;0
186,9972;4318;946,858;0;0
345,3038;5519;960,9175;0;0
213,001;3040;911,2034;1;0
182,604;4254;893,3604;0;0
239,7875;3389;1005,948;1;0
279,3474;4502;716,4166;1;0
