Time;NumMsgSent;Distance;NodesLost;Targets_left
264,5979;5238;1081,824;0;0
250,8797;5124;928,9184;0;0
258,8822;4713;764,8942;1;0
195,582;3950;907,9981;0;0
223,2697;4976;1001,409;0;0
335,4909;5631;905,0388;1;0
196,1746;4128;918,3557;0;0
195,364;4125;890,5472;0;0
204,4905;4251;939,2963;0;0
198,8651;4160;918,7588;0;0
600,025;10003;1023,658;6;6
198,5666;3977;924,5327;0;0
305,7315;2545;601,3925;3;0
196,3675;4104;921,6053;0;0
196,5133;3940;923,866;0;0
187,054;3804;885,4888;0;0
208,0734;4336;975,7646;0;0
600,0319;7443;1020,965;6;1
193,9961;4047;913,107;0;0
192,3419;4055;884,6753;0;0
193,0312;4051;898,2503;0;0
161,2572;3900;762,754;0;0
198,686;3997;924,5076;0;0
356,6941;5681;1157,053;1;0
256,6628;4307;857,3992;1;0
195,6328;3955;913,6069;0;0
195,1941;3932;912,0268;0;0
276,8847;4780;844,1182;1;0
196,9751;3958;920,6884;0;0
256,1042;4264;694,3434;1;0
229,5316;4710;1005,307;0;0
