Time;NumMsgSent;Distance;NodesLost;NodesLost
170,415;4791;1039,318;0;0
183,8384;4952;1110,457;0;0
187,5436;5029;1147,749;0;0
184,1258;4889;1128,041;0;0
153,2423;4297;880,566;0;0
190,1677;5133;1167,33;0;0
190,7486;4740;1015,997;0;0
202,9085;5284;1174,61;0;0
204,8058;5197;1182,275;0;0
196,4104;4995;1080,751;0;0
169,3669;4320;897,0181;0;0
252,7761;5512;1051,064;1;0
254,553;5700;864,4647;2;0
203,1857;5086;1010,257;0;0
213,7198;5286;938,8149;1;0
205,0872;5098;1053,634;0;0
196,8863;5064;853,707;1;0
190,7862;4907;1017,823;0;0
194,5534;4616;895,8368;0;0
244,7203;5625;1167,368;0;0
220,9868;5174;957,9766;1;0
197,2208;5025;1003,903;0;0
201,8191;5091;1060,058;0;0
246,2542;5510;1045,262;1;0
211,0873;5180;1090,347;0;0
252,3525;5488;1039,5;1;0
195,4194;5050;995,8304;0;0
209,887;5273;1081,998;0;0
196,1866;5124;971,0134;0;0
211,9526;5279;1027,99;0;0
223,1861;5341;1133,246;0;0
223,0865;5322;1110,566;0;0
229,1202;5257;913,7551;1;0
234,2518;5278;1148,112;0;0
204,8548;5180;1042,926;0;0
212,4535;5243;1067,313;0;0
189,6532;4944;983,892;0;0
177,6196;4736;935,3394;0;0
199,3873;5074;1039,671;0;0
212,6862;5208;1059,938;0;0
236,7874;5521;1151,769;0;0
221,2215;5254;1172,102;0;0
152,1201;4111;786,9762;0;0
220,3524;5324;1088,299;0;0
282,6857;5905;1364,606;0;0
191,9863;4941;965,2604;0;0
215,6186;5245;1121,208;0;0
228,0554;5361;1177,347;0;0
218,4193;5475;906,8026;1;0
241,219;5531;1197,456;0;0
213,0862;5085;938,7267;1;0
214,5199;5294;1102,295;0;0
214,7198;4858;960,2789;1;0
266,4858;5221;492,0586;4;0
208,4532;5251;1044,596;0;0
201,1548;5137;1014,535;0;0
205,4862;5134;1006,084;0;0
208,5867;5044;928,3721;1;0
198,3197;4982;1027,34;0;0
215,9865;5299;1131,075;0;0
225,3861;5348;1076,102;0;0
229,0879;5324;1011,986;1;0
216,0547;5280;938,0231;1;0
245,0518;5512;1248,669;0;0
223,3192;5344;944,6036;1;0
217,187;5205;1073,711;0;0
203,1505;5139;1047,037;0;0
216,2857;5287;1082,033;0;0
215,12;5219;1063,43;0;0
194,9855;5042;1010,279;0;0
220,2934;5310;1109,858;0;0
218,5186;5256;1083,718;0;0
199,6872;4898;882,6632;1;0
234,2208;5674;1215,692;0;0
185,4871;4470;952,097;0;0
216,6529;5061;921,0297;1;0
232,2204;5427;981,176;1;0
217,3861;5385;1082,266;0;0
214,3522;5334;1025,716;0;0
240,0862;5533;1220,034;0;0
238,2884;5400;1138,051;0;0
190,6207;5003;1002,74;0;0
194,1861;4960;988,893;0;0
203,7207;5143;847,8896;1;0
227,2199;5445;1138,07;0;0
255,753;5607;1112,668;1;0
209,3548;5182;1009,754;0;0
216,5186;5202;1029,175;0;0
208,7533;5262;1058,882;0;0
233,5203;5302;983,4329;1;0
194,0853;4959;966,1849;0;0
197,2538;5032;982,4974;0;0
216,953;5242;1083,319;0;0
206,6868;5298;1045,943;0;0
219,753;5463;1138,726;0;0
213,8208;5221;1056,346;0;0
255,1224;5685;1255,144;0;0
205,7872;5056;888,0128;1;0
208,3871;5053;929,6477;1;0
234,9526;5502;1160,476;0;0
196,8548;5028;1007,257;0;0
263,0199;5551;1226,346;0;0
231,6189;5565;1155,984;0;0
