Time; NumMsgSent; Distance; NodesLost
313,2009;3633;1288,327;1
193,1449;2622;844,2874;1
140,5256;2175;726,4895;0
173,9864;2534;724,8926;1
135,8196;2155;596,715;1
600,034;5930;2672,167;6
600,024;5915;2948,12;6
600,0046;5952;3058,111;6
207,5679;2668;1070,194;0
196,0817;2595;992,4755;0
600,0067;6616;2179,973;6
447,6622;4574;1904,167;1
600,0035;6122;3014,102;6
600,0166;5454;3061,936;6
600,0195;5932;2943,883;6
174,3496;2411;615,1404;2
