Time;NumMsgSent;Distance;NodesLost

196,0156;3546;660,0262;1;0
253,0506;3560;779,3653;1;0
215,0734;3674;852,2574;1;0
207,3462;3582;828,3573;1;0
314,6053;6330;1234,276;0;0
227,0987;3852;880,1562;1;0
174,6414;2933;574,8528;0;0
196,841;4074;880,1296;0;0
176,14;2996;567,4424;0;0
177,5321;3001;565,5439;0;0
194,7317;3526;693,9718;1;0
211,9238;3627;848,0452;1;0
258,3336;2266;605,264;2;0
196,0076;3046;769,8307;1;0
600,0088;9683;677,7147;6;3
600,0245;2043;183,8221;6;4
195,6765;4352;912,2549;0;0
206,2893;4190;964,4556;0;0
600,0228;4758;434,2442;6;2
205,6881;3538;848,7471;1;0
167,7317;2861;653,5801;1;0
600,0236;7152;481,9682;6;1
600,0107;10453;409,3205;6;7
600,0004;6689;766,1295;6;1
600,013;8043;417,4221;6;5
600,0037;3257;314,7345;6;4
228,5946;3876;915,3483;1;0
245,2664;5115;1035,686;0;0
185,7226;4183;821,3294;0;0
194,3345;4387;864,1599;0;0
204,509;3671;709,7607;1;0
600,0003;4588;637,85;6;6
312,1189;4766;1033,438;1;0
172,9561;2956;569,0946;0;0
229,2638;3774;736,7142;1;0
196,2046;3537;666,0016;1;0
600,0284;6666;624,418;6;1
192,3943;3909;787,0875;0;0
213,3235;3685;850,4039;1;0
176,0453;2991;567,1481;0;0
193,6567;3905;898,4763;0;0
600,0186;10455;391,4984;6;7
600,0117;6695;765,7801;6;1
172,7335;2926;567,82;0;0
190,7357;3480;668,0453;1;0
195,9968;3911;911,28;0;0
177,4043;3009;562,2263;0;0
297,6801;4020;660,5828;2;0
173,5097;2963;565,9609;0;0
236,5735;3993;933,0066;1;0
352,2613;2713;583,5084;3;0
173,2977;2947;565,887;0;0
166,6516;2979;718,1395;1;0
