Time;NumMsgSent;Distance;NodesLost;Targets_left
249,3312;4202;865,2527;1;0
600,0273;6987;678,7519;6;1
173,4862;3135;633,4628;1;0
252,2568;4240;857,4454;1;0
229,0144;3938;839,6472;1;0
600,0038;9695;693,3543;6;3
407,7392;4799;1048,567;2;0
600,0006;9450;562,3599;6;5
600,0211;9261;680,4575;6;1
225,9562;3886;833,4595;1;0
171,4107;3096;632,5897;1;0
600,0133;10475;334,3765;6;7
155,7601;3298;625,2845;1;0
285,2185;4701;858,5117;1;0
600,0331;9326;980,7369;6;1
279,7542;4635;809,0704;1;0
600,0312;9348;975,0294;6;1
244,02;4150;691,5726;1;0
316,3882;3932;739,5607;2;0
195,4528;3888;731,4799;1;0
261,1864;4281;732,7681;1;0
600,0251;3636;711,7126;6;1
264,7287;4031;892,9697;1;0
600,0212;8001;1229,88;6;2
305,768;4580;993,5386;1;0
237,5318;3852;837,2407;1;0
480,7959;7411;935,7831;1;0
600,0012;7139;405,8634;6;2
245,7921;3685;680,3857;1;0
188,219;3357;692,1697;1;0
600,0253;5849;493,4666;6;6
600,0276;3164;351,032;6;4
253,5218;4270;818,6917;1;0
230,6581;4631;895,7773;0;0
600,0252;2577;228,6122;6;2
252,1917;4302;1094,915;1;0
600,0324;6970;530,6127;6;4
216,8438;3699;705,7193;1;0
600,0279;7595;876,3222;6;2
193,6616;2591;609,2506;1;0
600,0317;9262;620,8867;6;1
215,293;3510;688,1975;1;0
245,6422;3665;681,1979;1;0
193,9208;3446;721,0009;1;0
156,0186;3312;638,6293;1;0
217,0228;3617;682,926;1;0
235,9747;3946;779,9616;1;0
189,3939;3356;703,6285;1;0
600,001;7071;776,2697;6;1
283,273;4858;1035,683;1;0
600,021;9048;743,498;6;1
600,018;9753;555,7567;6;4
170,2745;4013;763,1889;0;0
