Time;NumMsgSent;Distance;NodesLost;Targets_left
185,7314;5102;931,2183;0;0
209,7393;5315;1058,13;0;0
205,0385;5338;1040,019;0;0
369,7222;6157;881,6539;2;0
220,3802;5794;1077,115;0;0
279,1588;2702;394,412;4;0
269,0506;5511;881,0504;1;0
223,7442;5828;1069,298;0;0
173,7657;4920;867,5992;0;0
239,0897;5834;1211,497;0;0
374,3946;6110;913,155;2;0
211,0596;4643;695,1776;1;0
229,7627;6001;1136,352;0;0
173,758;5265;940,595;0;0
217,0661;5519;1091,493;0;0
177,0575;5121;932,834;0;0
253,0858;5850;1109,853;0;0
222,4199;5546;1076,633;0;0
383,7332;6129;943,0212;2;0
209,0895;5671;1088,283;0;0
193,0824;5424;957,4055;0;0
185,7148;5178;940,2686;0;0
240,3961;5944;1184,774;0;0
202,5393;5624;1029,945;0;0
231,532;5800;1130,954;0;0
260,3856;6029;1161,068;0;0
203,147;5235;982,3132;0;0
218,6527;5429;1081,306;0;0
265,7205;6199;1202,56;0;0
252,7482;5791;1160,55;0;0
222,4347;5824;1148,28;0;0
229,0753;5514;1156,145;0;0
209,0629;5600;1076,323;0;0
185,7616;5192;970,132;0;0
208,2428;5443;1083,358;0;0
216,378;5621;1084,473;0;0
363,0744;6524;1182,461;0;0
194,3714;5500;1001,698;0;0
206,3806;5274;991,8475;0;0
291,7629;6081;1223,142;0;0
900,3915;5127;1083,74;6;9
181,9218;5381;924,3374;0;0
198,4094;5386;1026,259;0;0
187,7508;5190;917,6669;0;0
319,8834;6116;932,3603;1;0
189,9278;5328;1008,272;0;0
219,5407;5535;1080,812;0;0
209,2418;5419;1049,201;0;0
191,1914;5332;941,1031;0;0
185,9232;5330;958,8064;0;0
226,4439;5644;1126,037;0;0
309,2304;6325;1205,604;0;0
197,8876;5364;1004,77;0;0
244,6267;5675;1172,752;0;0
192,544;5419;950,7286;0;0
221,1863;5762;1110,709;0;0
212,5076;5397;1065,249;0;0
367,225;6436;1248,995;0;0
200,3551;2186;485,5724;3;0
217,165;5325;1111,269;0;0
231,1473;5786;1087,422;0;0
223,9631;5591;1135,854;0;0
269,4972;5602;1112,081;0;0
251,7783;5946;1241,88;0;0
221,9413;5457;1057,824;0;0
900,1097;4840;1234,521;6;9
190,5047;5316;959,9594;0;0
197,153;5071;929,323;0;0
337,1203;6410;1188,085;0;0
210,6788;5901;1094,498;0;0
182,8293;2517;476,0397;3;0
209,6999;5546;1090,636;0;0
191,8444;5076;965,9865;0;0
228,379;5510;1077,503;0;0
193,9517;3352;854,5709;1;0
243,3751;1953;574,6382;3;0
206,2949;5440;1047,03;0;0
194,3378;5473;1000,157;0;0
219,4828;5519;1093,021;0;0
200,4925;5383;1020,201;0;0
301,7365;4091;1009,949;1;0
191,2179;5086;990,7229;0;0
213,0134;5531;1075,279;0;0
259,9281;5790;1245,67;0;0
224,926;4687;676,1872;2;0
252,6428;5836;1231,592;0;0
228,6848;5431;1182,371;0;0
218,4022;5712;1100,193;0;0
193,4527;5362;1002,787;0;0
415,3393;6950;1306,332;1;0
229,7786;5533;1102,65;0;0
199,2361;5364;1061,265;0;0
200,494;5455;1010,395;0;0
234,2028;5552;1091,374;0;0
177,7384;4676;876,7089;0;0
200,9209;5548;1013,201;0;0
220,9206;5414;1063,986;0;0
