Time;NumMsgSent;Distance;NodesLost;Targets_left
900,1656;2596;145,6125;6;9
218,4041;5712;1086,838;0;0
217,0626;5804;1103,694;0;0
523,1007;3592;795,4888;3;0
209,7317;5508;1068,261;0;0
199,7086;5361;1012,978;0;0
240,4249;5913;1164,19;0;0
207,7393;5555;1040,236;0;0
317,6187;6705;1309,626;0;0
208,3979;5752;1001,887;0;0
225,0896;5752;1110,373;0;0
227,7148;5413;1149,785;0;0
328,3739;6346;1280,477;1;0
205,7115;5522;1055,163;0;0
216,3967;5429;1077,454;0;0
198,4238;5385;1035,074;0;0
209,7839;5707;1062,986;0;0
207,7021;5656;1017,505;0;0
229,0538;5869;1131,023;0;0
223,0738;5704;1078,061;0;0
244,402;6085;1218,601;0;0
237,1258;5839;1071,439;0;0
177,0687;5061;943,4943;0;0
250,0006;6086;1155,746;0;0
203,0282;5311;996,569;0;0
395,0663;3909;699,434;3;0
197,9565;5518;1019,369;0;0
207,0759;5537;1023,68;0;0
218,4778;5433;1099,126;0;0
221,1344;820;185,0175;5;0
195,2958;5359;1000,357;0;0
207,0528;5273;1038,674;0;0
184,515;5381;979,0249;0;0
180,1338;5186;983,0415;0;0
227,7047;5658;1058,15;0;0
442,4104;5697;1005,8;2;0
287,0583;5939;868,7218;1;0
207,7493;5441;1068,886;0;0
226,3923;5741;1048,607;0;0
249,9723;5662;880,2682;1;0
191,9301;5222;998,795;0;0
281,5794;2224;541,2148;4;0
189,9584;5451;988,5901;0;0
219,9496;5549;1093,282;0;0
215,2823;5624;1025,174;0;0
198,5042;5385;1014,671;0;0
231,8801;5970;1205,209;0;0
205,2521;5659;1071,434;0;0
326,167;3789;714,1156;2;0
256,5428;6144;1199,925;0;0
195,2135;5487;1023,9;0;0
194,0859;5533;1027,218;0;0
360,5265;7235;1391,349;0;0
182,5492;5396;982,1954;0;0
210,8228;5136;979,5268;0;0
232,3996;5489;1170,67;0;0
185,1752;5071;944,7894;0;0
221,2221;5511;1116,863;0;0
900,5213;3557;990,3902;6;17
359,2275;6271;1308,845;1;0
243,7927;5532;1004,166;0;0
199,759;5191;1057,255;0;0
205,1547;5148;1033,905;0;0
190,5675;5284;961,6146;0;0
175,7664;5030;913,5292;0;0
206,4989;5306;1018,432;0;0
530,077;8294;1293,235;1;0
193,0887;5543;993,7203;0;0
178,5542;2684;425,5921;3;0
202,5612;5321;1047,41;0;0
194,3956;5089;984,6307;0;0
196,4078;5117;964,5921;0;0
194,4724;5147;982,1972;0;0
491,4031;4970;970,4717;2;0
167,325;4751;897,0598;0;0
187,0733;5268;974,4152;0;0
254,0622;6317;1315,784;0;0
182,4259;5319;982,5471;0;0
202;5310;986,913;0;0
247,8618;5832;1160,503;0;0
298,3158;3982;664,2908;3;0
206,3797;5025;883,4544;1;0
223,051;5450;1066,601;0;0
198,9918;5183;949,1049;0;0
371,7022;6293;1001,034;1;0
209,0442;5544;1034,358;0;0
192,8159;5015;1004,142;0;0
203,3921;5324;1031,942;0;0
371,037;6157;1209,807;1;0
198,6419;5246;988,7955;0;0
173,3669;5110;917,1469;0;0
397,4319;6340;1215,312;1;0
349,9426;6216;1095,354;1;0
206,2045;5799;1072,988;0;0
277,04;5345;1029,744;1;0
215,4428;5327;1001,261;0;0
203,6689;5235;1040,553;0;0
316,8896;3941;786,4944;3;0
