Time;NumMsgSent;Distance;NodesLost;Targets_left
253,958;4323;1319,958;0;0
432,3064;6658;2168,142;0;0
284,9027;5346;1505,842;0;0
180,8605;3463;947,09;0;0
189,5466;3680;976,5031;0;0
383,8777;5967;1449,073;1;0
256,9412;5090;1349,119;0;0
284,8642;4890;1459,171;0;0
296,1815;5130;1413,332;0;0
182,8896;3495;950,366;0;0
187,8574;3702;1003,618;0;0
201,8779;3530;1075,379;0;0
211,2406;4168;1092,991;0;0
211,5469;4180;1089,548;0;0
482,5696;5931;1469,992;1;0
302,5807;4302;1100,613;0;0
286,8613;3924;1166,749;1;0
567,3103;5518;1028,759;1;0
391,1927;6542;2015,254;0;0
138,1887;3010;751,4411;0;0
363,2142;3391;1005,009;2;0
169,878;3532;964,2162;0;0
322,1854;1526;483,7317;4;0
190,5395;1076;361,518;4;0
219,2053;3660;1179,27;0;0
300,5358;5499;1545,307;0;0
212,5232;3893;1117,717;0;0
420,1964;6560;1694,458;1;0
276,5254;5064;1417,658;0;0
454,2014;5484;1143,992;1;0
244,2017;4491;1350,046;0;0
162,8845;3135;901,5214;0;0
338,8714;6367;1672,338;0;0
180,5201;3518;972,5696;0;0
356,8558;4851;947,3785;1;0
216,5152;3850;995,6649;0;0
256,5533;4744;1370,539;0;0
221,8606;4095;1184,846;0;0
583,4797;6818;1624,256;1;0
150,5464;3149;827,9598;0;0
189,5265;3632;997,3992;0;0
306,8699;5325;1598,928;0;0
296,1927;5442;1598,116;0;0
258,8629;4746;1361,415;0;0
405,8665;6143;1275,4;1;0
223,8725;4146;1189,231;0;0
204,1946;3826;1115,864;0;0
297,8691;5353;1488,415;0;0
174,2009;3404;932,2618;0;0
251,5363;4836;1311,758;0;0
316,5367;4562;1181,275;1;0
208,5355;4059;1028,223;0;0
188,547;2469;799,9254;1;0
131,8698;2830;731,9183;0;0
272,2062;4775;1284,511;0;0
573,567;7448;1737,37;1;0
185,2094;3857;1029,568;0;0
231,2047;3601;1164,721;0;0
220,8731;3795;1193,447;0;0
156,2075;3038;841,2914;0;0
242,8874;4762;1221,358;0;0
234,8707;4493;1260,707;0;0
221,2022;3670;1221,005;0;0
262,5455;4762;1359,878;0;0
206,8677;3881;985,0203;0;0
226,2056;4478;1204,639;0;0
173,5509;3420;921,6724;0;0
203,5381;3831;1013,582;0;0
171,2014;3400;829,8629;0;0
404,5722;4150;1340,853;1;0
236,2026;4621;1306,105;0;0
248,5567;4306;1323,656;0;0
267,5504;4834;1415,254;0;0
202,2131;3963;1068,924;0;0
190,2099;3855;1046,81;0;0
247,2159;2039;657,314;3;0
298,546;5597;1623,234;0;0
243,8727;4642;1245,753;0;0
267,2191;5195;1361,576;0;0
238,5431;4483;1225,538;0;0
143,8673;2886;804,7181;0;0
257,2162;4464;1233,138;0;0
271,88;4855;1412,222;0;0
196,2045;3891;987,5355;0;0
168,5635;3338;896,7465;0;0
286,2433;5434;1563,477;0;0
216,2798;3691;1058,243;0;0
320,2652;5717;1692,48;0;0
223,9241;3513;788,5577;1;0
212,9095;1846;576,7233;3;0
144,2569;3205;757,9116;0;0
410,3895;6887;2013,743;0;0
122,5514;2702;691,5166;0;0
241,943;4625;1281,161;0;0
492,3875;6637;1679,887;1;0
257,6223;5001;1433,585;0;0
284,6729;5326;1520,015;0;0
202,9533;4165;1073,475;0;0
900,2087;13875;1320,714;6;8
206,2781;4097;1136,821;0;0
900,1552;4442;1185,778;6;2
163,6058;3131;921,6957;0;0
181,6148;3841;970,9321;0;0
337,3205;6107;1821,46;0;0
204,9166;4092;1075,825;0;0
239,9963;4792;1221,542;0;0
240,6033;4582;1318,436;0;0
271,4033;4789;1208,004;0;0
219,6113;4042;1135,984;0;0
272,6316;4814;1348,793;0;0
145,9292;2849;792,7209;0;0
173,2618;3561;948,6553;0;0
249,6277;3849;1097,817;0;0
178,616;3683;916,6412;0;0
211,6138;4290;1151,817;0;0
262,6232;5079;1422,513;0;0
214,2854;4020;1052,723;0;0
386,1339;5491;1154,871;1;0
231,3426;3010;633,4866;3;0
356,0327;2301;1120,706;2;0
260,3243;4907;1374,318;0;0
241,9645;4888;1262,787;0;0
301,0002;5486;1608,513;0;0
308,3219;4215;1070,094;1;0
265,6339;4943;1278,261;0;0
282,9938;5297;1549,631;0;0
174,2696;3223;880,8181;0;0
267,6571;4886;1384,315;0;0
395,0594;5050;1289,239;1;0
253,3237;4568;1405,488;0;0
250,9397;4587;1360,548;0;0
157,9273;3361;802,6341;0;0
162,261;3412;876,5243;0;0
179,2766;3496;997,2323;0;0
250,6685;4159;915,8094;0;0
192,6297;4028;1051,035;0;0
218,3116;4292;1102,022;0;0
257,3228;4699;1388,893;0;0
225,2717;4426;1166,068;0;0
287,3387;5486;1524,141;0;0
200,5739;3888;987,9872;0;0
253,9335;4808;1344,363;0;0
320,9525;5510;1776,795;0;0
194,5691;3967;1048,111;0;0
216,2513;4012;1144,152;0;0
197,889;3795;1017,578;0;0
167,2764;3464;907,1181;0;0
263,2467;5034;1438,624;0;0
189,2471;3488;905,6965;0;0
331,5511;1602;531,3555;4;0
530,8813;5052;1550,285;1;0
693,2111;5582;1209,067;2;0
174,2016;3441;923,6139;0;0
250,8827;4495;1189,288;0;0
430,8873;4820;1127,319;1;0
204,2012;3832;1074,931;0;0
264,8729;4760;1372,58;0;0
315,2068;5835;1710,24;0;0
221,2019;4201;1134,752;0;0
249,5361;4889;1347,63;0;0
234,868;4320;1213,552;0;0
237,5441;4456;1197,676;0;0
189,5352;3676;1042,986;0;0
341,871;6086;1822,461;0;0
242,5373;4392;1308,139;0;0
268,2016;4953;1444,501;0;0
191,2017;3892;1088,4;0;0
305,8681;4817;1363,064;1;0
291,8687;4323;1109,622;1;0
323,871;5985;1468,141;0;0
