Time;NumMsgSent;Distance;NodesLost;Targets_left
319,8556;5566;1586,358;0;0
231,2079;4308;1198,059;0;0
243,5321;4941;1370,881;0;0
202,8622;3928;1084,916;0;0
252,1928;4650;1336,671;0;0
311,8644;516;261,2372;5;0
218,1794;4312;1186,676;0;0
296,8712;5546;1614,206;0;0
241,8657;4254;1308,907;0;0
323,615;5852;1651,858;0;0
266,8597;4903;1443,04;0;0
228,5124;3992;1194,378;0;0
234,4203;4569;1191,361;0;0
212,8736;4252;1171,355;0;0
287,2096;5228;1542,457;0;0
447,8601;6504;1322,413;1;0
334,2057;5244;1693,379;0;0
266,9213;4866;1393,333;0;0
234,507;4592;1202,3;0;0
900,0914;5729;717,7157;6;3
249,1877;4640;1231,744;0;0
334,5366;6003;1682,79;0;0
257,8694;5199;1364,685;0;0
257,8694;5199;1364,685;0;0
257,0028;2942;750,8687;2;0
318,5345;5755;1359,436;0;0
380,5474;7047;2047,994;0;0
494,7228;8009;2510,164;0;0
190,8969;3608;1032,089;0;0
264,1837;4455;1079,791;0;0
218,5402;4145;1122,632;0;0
174,5335;3475;936,3394;0;0
301,5335;5493;1580,085;0;0
137,1949;2898;738,7501;0;0
263,5491;4979;1444,277;0;0
213,294;3901;1075,933;0;0
185,8688;3759;1009,016;0;0
420,8687;6257;1459,306;1;0
175,284;3520;944,803;0;0
135,5352;2791;696,3643;0;0
244,5287;4560;1290,456;0;0
228,5454;4257;1285,722;0;0
130,215;2797;700,1439;0;0
260,5345;4792;1382,878;0;0
270,8698;5134;1391,412;0;0
350,7704;6386;1685,466;0;0
270,8572;4732;1420,637;0;0
232,2906;4563;1115,866;0;0
204,201;3885;1137,156;0;0
144,8672;3174;809,467;0;0
229,87;4644;1273,575;0;0
328,9179;5467;1660,02;0;0
552,6086;9717;2953,236;0;0
164,5415;3287;911,3314;0;0
202,6159;3799;1057,194;0;0
277,5506;5220;1494,374;0;0
176,5393;3499;941,4794;0;0
330,8727;3690;812,9344;2;0
261,8677;5170;1398,516;0;0
151,8719;3131;828,0133;0;0
224,2078;4100;1151,807;0;0
375,2028;2589;995,5988;3;0
425,208;7949;2125,091;0;0
217,2132;4321;1162,497;0;0
291,2034;5288;1531,319;0;0
264,2092;5034;1400,792;0;0
260,2018;4608;1283,703;0;0
210,8716;4085;1100,629;0;0
213,8699;4046;1133,686;0;0
264,8715;5245;1312,699;0;0
207,211;4011;1107,318;0;0
179,5378;3648;932,0089;0;0
228,8753;4664;1207,069;0;0
224,2275;4357;1243,715;0;0
277,5413;5013;1466,761;0;0
595,3614;10432;2886,649;0;0
254,9465;4803;1435,268;0;0
512,2272;7914;1491,817;1;0
288,5496;5008;1369,611;0;0
174,2047;3475;910,4966;0;0
494,5379;9032;2581,036;0;0
900,2175;8149;1823,849;6;2
229,5354;4527;1201,693;0;0
281,5359;5138;1532,841;0;0
494,298;7913;2641,751;0;0
281,9239;5134;1436,635;0;0
219,8983;4389;1192,872;0;0
264,9364;4315;1173,993;0;0
414,6304;6075;1530,854;1;0
265,3244;4855;1339,899;0;0
236,9312;4420;1269,016;0;0
412,6369;7224;2273,488;0;0
294,321;6039;1508,494;0;0
392,9857;1752;513,7214;4;0
237,6246;4530;1275,939;0;0
114,5457;2426;651,4934;0;0
241,9689;4698;1264,037;0;0
196,9723;3696;1063,307;0;0
260,6263;5331;1358,389;0;0
270,9796;5356;1368,69;0;0
333,9586;5695;1804,079;0;0
253,6213;4887;1356,19;0;0
226,2725;4610;1182,828;0;0
260,281;3179;872,6813;2;0
255,6178;4978;1317,107;0;0
288,9348;5621;1502,699;0;0
231,7064;4474;1265,834;0;0
220,0102;4228;1156,932;0;0
257,6111;4974;1388,199;0;0
303,6737;1570;551,8801;4;0
250,276;5001;1335,029;0;0
169,2396;3390;890,0322;0;0
245,2966;4637;1308,645;0;0
227,6328;4585;1158,608;0;0
168,927;3317;927,5227;0;0
