;Time;Distance;DistanceInMeters;E_horison;E_hover;E_total;NodesLost;P_nodeloss;Number of samples;PRP;Scenario
Mean;168.70930500000003;880.0987799999999;17601.9756;2133.6894797624996;13034.459291598389;15168.148771360884;0.15;0.06;100;PRP1;0
Variance;246.6817086218939;12200.712133175555;4880284.8532702215;71710.83414540497;1472464.7786643894;1818880.8191499307;0.43181818181818205;0.056969696969696955;100;PRP1;0
Mu upper;171.82535133657998;902.0131012277816;18040.262024555635;2080.5609472358965;13275.204632377818;15435.718855239895;0.2803724705449453;0.10735407829774751;100;PRP1;0
Mu lower;165.59325866342007;858.1844587722182;17163.689175444368;2080.5609472358965;12793.71395081896;14900.578687481873;0.019627529455054693;0.01264592170225249;100;PRP1;0
Uncertainty;3.1160463365799558;21.91432122778167;438.28642455563386;53.12853252660307;240.74534077942917;267.5700838790108;0.1303724705449453;0.047354078297747515;100;PRP1;0
Mean,166.511669,901.8875200000001,18037.7504,2186.5135563,12864.670215769103,15051.1837720691,0.02,0.01,100,PRP2,0
Variance,126.53254003125157,4033.6825111105054,1613473.0044442024,23708.348692444637,755283.8416428241,995293.1950604097,0.039999999999999994,0.009999999999999998,100,PRP2,0
Mu upper,168.7433727660658,914.4879767869331,18289.75953573866,2155.9653238771793,13037.091362840341,15249.11346485848,0.05967943036899266,0.02983971518449633,100,PRP2,0
Mu lower,164.27996523393423,889.2870632130671,17785.74126426134,2155.9653238771793,12692.249068697865,14853.25407927972,-0.019679430368992664,-0.009839715184496332,100,PRP2,0
Uncertainty,2.2317037660657775,12.600456786933023,252.0091357386591,30.548232422820547,172.421147071238,197.92969278937926,0.039679430368992664,0.019839715184496332,100,PRP2,0
Mean,167.98141212121214,910.9504343434344,18219.00868686869,2208.4854592613633,12978.2223810308,15186.707840292162,0.0,0.0,99,PRP3,0
Variance,123.37169262230054,2914.025281629012,1165610.1126516052,17127.457920935794,736416.4659204235,958482.915339175,0.0,0.0,99,PRP3,0
Mu upper,170.19644062803857,921.7155379988047,18434.310759976095,2182.386811086875,13149.35519970941,15381.9455688491,0.0,0.0,99,PRP3,0
Mu lower,165.76638361438572,900.185330688064,18003.706613761282,2182.386811086875,12807.089562352192,14991.470111735223,0.0,0.0,99,PRP3,0
Uncertainty,2.215028506826428,10.765103655370353,215.3020731074066,26.098648174488517,171.1328186786086,195.23772855693824,0.0,0.0,99,PRP3,0
Mean,206.92553398058257,947.2126213592234,18944.252427184467,2296.3985989077673,15987.040246903758,18283.438845811528,0.5339805825242718,0.4077669902912621,103,PRP1,1
Variance,552.6636693667751,18097.0564910913,7238822.596436523,106367.15319459785,3298897.9691126226,3762986.255092204,0.5846183133447552,0.243860651056539,103,PRP1,1
Mu upper,211.51954895114145,973.5011281826752,19470.022563653503,2232.6654001776615,16341.97325500751,18662.51656944491,0.6833969437916876,0.5042682122065462,103,PRP1,1
Mu lower,202.3315190100237,920.9241145357715,18418.48229071543,2232.6654001776615,15632.107238800007,17904.361122178147,0.38456422125685613,0.3112657683759781,103,PRP1,1
Uncertainty,4.594014970558874,26.288506823451826,525.7701364690365,63.73319873010587,354.9330081037515,379.07772363338154,0.14941636126741573,0.09650122191528404,103,PRP1,1
Mean,211.0230029126214,1010.7748563106796,20215.497126213588,2450.4972922682036,16303.610171682061,18754.107463950266,0.10679611650485436,0.06796116504854369,103,PRP2,1
Variance,1133.71387983205,13897.361210976405,5558944.4843905615,81683.04882378405,6767237.694523917,7048015.681768368,0.29240434037692753,0.06396344945745286,103,PRP2,1
Mu upper,217.60281786428928,1033.8119729290872,20676.239458581742,2394.6466826664514,16811.965831933077,19272.90198259736,0.2124666391554433,0.11738402650352359,103,PRP2,1
Mu lower,204.4431879609535,987.7377396922719,19754.754793845434,2394.6466826664514,15795.254511431043,18235.312945303172,0.0011255938542654165,0.018538303593563794,103,PRP2,1
Uncertainty,6.579814951667885,23.03711661840765,460.74233236815417,55.85060960175224,508.35566025101707,518.7945186470934,0.10567052265058895,0.0494228614549799,103,PRP2,1
Mean,210.42094615384616,991.0954298076923,19821.908596153844,2402.7869826400242,16257.095343626268,18659.88232626629,0.16346153846153846,0.057692307692307696,104,PRP3,1
Variance,5136.119428530081,14703.609520713762,5881443.808285505,86421.84916498515,30657947.846130636,32518058.663176302,0.6040888722927558,0.05489171023151607,104,PRP3,1
Mu upper,224.3567434269739,1014.6744765552559,20293.489531105115,2345.6225311813996,17333.77325568661,19768.741945269918,0.3145964099280303,0.10325062175387623,104,PRP3,1
Mu lower,196.4851488807184,967.5163830601288,19350.327661202573,2345.6225311813996,15180.417431565926,17551.022707262666,0.012326666995046642,0.012133993630739172,104,PRP3,1
Uncertainty,13.935797273127747,23.579046747563552,471.58093495127105,57.164451458624626,1076.6779120603424,1108.859619003626,0.15113487146649182,0.04555831406156853,104,PRP3,1
Mean,254.06514736842107,1155.0634842105264,23101.26968421052,2800.3070345328942,19629.040738373198,22429.347772906098,0.47368421052631576,0.2982456140350877,57,PRP1,3
Variance,7923.556373791465,88395.91868792458,35358367.47516983,519555.33373530937,47296403.72344233,54425471.07386752,0.7180451127819547,0.21303258145363407,57,PRP1,3
Mu upper,277.67469585377995,1233.921112726434,24678.422254528676,2609.1265713996404,21453.111429823377,24386.06786236448,0.6984361617572589,0.42066511944004636,57,PRP1,3
Mu lower,230.45559888306218,1076.2058556946188,21524.117113892367,2609.1265713996404,17804.97004692302,20472.627683447714,0.24893225929537266,0.17582610863012907,57,PRP1,3
