;Time;Distance;DistanceInMeters;E_horison;E_hover;E_total;NodesLost;P_nodeloss;Number of samples;PRP;Scenario
Mean;141.618898;760.7991980000002;15215.98396;1844.46255565125;10941.457917226464;12785.92047287771;0.0;0.0;50;PRP1;0
Variance;69.89096909244492;1284.5735053553017;513829.40214212047;7550.201708278431;417185.33129299356;523262.46178876003;0.0;0.0;50;PRP1;0
Mu upper;143.99360562140416;770.9799321085472;15419.598642170942;1819.7806383968414;11124.927523841468;12991.395669618609;0.0;0.0;50;PRP1;0
Mu lower;139.24419037859585;750.6184638914531;15012.369277829057;1819.7806383968414;10757.98831061146;12580.44527613681;0.0;0.0;50;PRP1;0
Uncertainty;2.3747076214041556;10.180734108547085;203.61468217094261;24.681917254408745;183.46960661500452;205.47519674089926;0.0;0.0;50;PRP1;0
Mean,141.3591918367347,762.7836102040815,15255.672204081631,1849.27351498852,10921.393052322544,12770.666567311066,0.0,0.0,49,PRP2,0
Variance,50.51639286368199,1458.3530740055191,583341.2296022078,8571.6074827373,301536.7845978307,399138.520472862,0.0,0.0,49,PRP2,0
Mu upper,143.39962510547497,773.7468161033506,15474.936322067015,1822.6945926864792,11079.036665273341,12952.037652504143,0.0,0.0,49,PRP2,0
Mu lower,139.31875856799445,751.8204043048123,15036.408086096248,1822.6945926864792,10763.749439371748,12589.295482117988,0.0,0.0,49,PRP2,0
Uncertainty,2.0404332687402587,10.963205899269155,219.26411798538356,26.578922302040837,157.64361295079652,181.3710851930773,0.0,0.0,49,PRP2,0
Mean,143.29598571428573,769.517406122449,15390.348122448979,1865.5987614681121,11071.029499186903,12936.62826065502,0.0,0.0,49,PRP3,0
Variance,40.04168365166667,1063.7037829655862,425481.5131862346,6252.019122119171,239012.3255789219,310517.83063199575,0.0,0.0,49,PRP3,0
Mu upper,145.1125986192311,778.8804397210547,15577.608794421094,1842.8992568874924,11211.380779503674,13096.602296594063,0.0,0.0,49,PRP3,0
Mu lower,141.47937280934036,760.1543725238432,15203.087450476864,1842.8992568874924,10930.678218870133,12776.654224715976,0.0,0.0,49,PRP3,0
Uncertainty,1.816612904945373,9.363033598605739,187.26067197211523,22.69950458061976,140.3512803167705,159.97403593904346,0.0,0.0,49,PRP3,0
Mean,213.41102621359224,1040.179308737864,20803.58617475728,2521.784711621359,16488.108545994568,19009.893257615928,0.27184466019417475,0.23300970873786409,103,PRP1,1
Variance,511.87085632195317,13372.699974299823,5349079.98971993,78599.30301328073,3055402.0862330007,3475908.6898354725,0.33714068151532467,0.18046830382638498,103,PRP1,1
Mu upper,217.8322464557918,1062.7773864881767,21255.547729763537,2466.9984968754443,16829.691455521348,19374.22425914144,0.3853111260830305,0.31602582582997996,103,PRP1,1
Mu lower,208.98980597139268,1017.5812309875512,20351.624619751026,2466.9984968754443,16146.52563646779,18645.562256090416,0.15837819430531902,0.14999359164574821,103,PRP1,1
Uncertainty,4.421220242199553,22.59807775031277,451.96155500625537,54.78621474591455,341.5829095267791,364.33100152551197,0.11346646588885573,0.08301611709211587,103,PRP1,1
Mean,233.21554615384616,1167.9892948717945,23359.785897435897,2831.6440467548077,18018.20321949754,20849.84726625235,0.02564102564102564,0.02564102564102564,39,PRP2,1
Variance,2987.0470715636025,102913.22816946784,41165291.26778715,604882.186881668,17829946.247987222,24111439.784277625,0.02564102564102565,0.02564102564102565,39,PRP2,1
Mu upper,250.91737970750967,1271.8934272503025,25437.868545006055,2579.7414658196626,19385.84461213962,22440.256145965304,0.07750489517268533,0.07750489517268533,39,PRP2,1
Mu lower,215.51371260018266,1064.0851624932866,21281.70324986574,2579.7414658196626,16650.56182685546,19259.438386539394,-0.026222843890634055,-0.026222843890634055,39,PRP2,1
Uncertainty,17.701833553663505,103.90413237850794,2078.082647570158,251.90258093514512,1367.6413926420792,1590.4088797129552,0.051863869531659695,0.051863869531659695,39,PRP2,1
Mean,187.2292775,960.0905624999999,19201.81125,2327.6195574609374,14465.309994425785,16792.929551886722,0.025,0.025,40,PRP3,1
Variance,402.8209873135832,4655.844685472148,1862337.8741888588,27365.165442991125,2404473.8429926,2737918.2854275396,0.024999999999999998,0.024999999999999998,40,PRP3,1
Mu upper,193.64297631057215,981.8953449893464,19637.90689978693,2274.756587913328,14960.831542896249,17321.694621497463,0.07552688457488343,0.07552688457488343,40,PRP3,1
Mu lower,180.81557868942784,938.2857800106534,18765.71560021307,2274.756587913328,13969.78844595532,16264.164482275983,-0.025526884574883432,-0.025526884574883432,40,PRP3,1
Uncertainty,6.413698810572157,21.804782489346508,436.09564978693015,52.86296954760928,495.52154847046404,528.7650696107403,0.050526884574883434,0.050526884574883434,40,PRP3,1
Mean,275.951756,1190.7172739999999,23814.345480000004,2886.74519115375,21319.99731743955,24206.742508593303,1.38,0.52,50,PRP1,2
Variance,30743.162731507007,631860.4263206109,252744170.52824432,3713819.1394348363,183508637.74937397,236816298.10315958,4.485306122448979,0.25469387755102035,50,PRP1,2
Mu upper,325.7568640775716,1416.5101279699502,28330.20255939901,2339.3386408103515,25167.93358717147,28577.990128889607,1.9815831444579524,0.6633536870838438,50,PRP1,2
Mu lower,226.1466479224284,964.9244200300495,19298.488400600996,2339.3386408103515,17472.06104770763,19835.494888297,0.7784168555420474,0.37664631291615625,50,PRP1,2
Uncertainty,49.8051080775716,225.79285396995033,4515.8570793990075,547.4065503433985,3847.9362697319193,4371.247620296304,0.6015831444579525,0.14335368708384377,50,PRP1,2
