Time;NumMsgSent;Distance;NodesLost;Targets_left
262,2664;5714;1082,792;0;0
169,7082;4857;925,6923;0;0
199,7263;5127;1088,159;0;0
199,0983;5141;1074,922;0;0
185,0726;4728;933,254;0;0
183,0558;5028;1011,827;0;0
161,0515;4856;891,8546;0;0
176,4071;4773;965,5076;0;0
187,7225;4986;1009,982;0;0
192,2795;5074;1043,237;0;0
184,5708;5116;1014,89;0;0
184,4082;4978;999,1022;0;0
172,3864;4845;912,3252;0;0
177,0986;4842;971,1143;0;0
200,3979;5322;1057,998;0;0
169,7216;4894;905,6884;0;0
165,0666;4816;926,9678;0;0
187,0795;5024;1004,523;0;0
189,0794;5101;1020,546;0;0
159,7442;4848;894,436;0;0
203,0632;5055;1073,286;0;0
173,8448;4737;926,3953;0;0
175,813;4836;930,4257;0;0
172,2847;4823;916,7584;0;0
189,0346;4914;986,5775;0;0
167,0803;4916;913,1716;0;0
187,3278;5125;989,5013;0;0
181,7467;4877;968,7446;0;0
174,409;4896;957,406;0;0
162,1333;4734;908,1528;0;0
177,0426;4866;959,1084;0;0
190,3741;5037;993,4296;0;0
180,3888;5011;962,6396;0;0
183,0409;4962;1002,412;0;0
176,2123;4934;949,4618;0;0
169,0682;4785;905,2264;0;0
162,3858;4765;878,1158;0;0
166,388;4763;889,5045;0;0
166,4188;4769;874,8243;0;0
184,3882;4872;998,8508;0;0
167,749;4667;876,4845;0;0
150,904;4516;803,196;0;0
193,062;4766;990,6326;0;0
168,8496;4903;873,2231;0;0
195,0804;5088;939,6013;0;0
178,7785;4917;981,4974;0;0
160,2193;4621;873,4268;0;0
177,9597;4997;954,6824;0;0
162,3967;4746;909,6324;0;0
167,3059;4898;941,5687;0;0
206,4153;5352;1052,362;0;0
169,9111;4700;879,9877;0;0
149,0844;4375;831,3708;0;0
199,9657;5161;983,6207;0;0
171,7419;4773;910,6188;0;0
196,4181;5055;1037,337;0;0
171,067;4645;920,1842;0;0
176,4041;4836;959,9362;0;0
161,9621;4617;893,6932;0;0
155,9632;4752;839,4949;0;0
139,079;4339;737,8353;0;0
138,5988;4280;755,7236;0;0
162,1508;4868;897,2146;0;0
151,2393;4459;844,8348;0;0
147,9261;4500;801,4673;0;0
157,4637;4322;832,5939;0;0
148,5849;4405;776,9241;0;0
183,8252;4752;973,903;0;0
190,2034;5001;1009,258;0;0
142,5482;4393;770,6377;0;0
172,5379;4566;887,1033;0;0
164,5687;4658;896,0521;0;0
154,5566;4485;838,4679;0;0
192,1718;5171;1031,183;0;0
148,5169;4491;829,809;0;0
148,478;4314;817,7369;0;0
327,9279;6561;1500,296;0;0
164,4514;4764;913,3562;0;0
177,1741;5091;999,1047;0;0
211,821;5267;1121,046;0;0
156,5039;4588;826,8815;0;0
171,8382;4699;942,5497;0;0
180,1871;5165;976,179;0;0
191,7888;5069;1033,699;0;0
157,0715;4583;847,0612;0;0
160,5436;4506;875,5282;0;0
155,4437;4777;841,5551;0;0
167,1515;4616;889,8542;0;0
151,1794;4529;805,4406;0;0
197,486;4980;1068,51;0;0
187,3764;5194;1014,695;0;0
159,2216;4584;854,9221;0;0
165,7578;4875;883,8158;0;0
159,8535;4734;896,3948;0;0
206,3902;5124;1053,278;0;0
167,9068;4682;874,9424;0;0
184,4216;4890;982,9921;0;0
191,4944;5305;999,4626;0;0
151,8414;4628;819,782;0;0
