Time;NumMsgSent;Distance;NodesLost;Targets_left
192,4762;5014;1055,15;0;0
164,4318;4743;874,1855;0;0
180,4252;5023;974,3519;0;0
175,0492;4982;972,1279;0;0
230,4095;5251;1136,206;0;0
188,3933;4833;1036,765;0;0
168,3793;4540;901,7179;0;0
163,7496;4495;884,2734;0;0
177,7271;4717;943,3315;0;0
165,7467;4765;911,1378;0;0
185,3378;4823;954,965;0;0
167,7233;4600;900,6224;0;0
166,3814;4800;898,1518;0;0
155,0835;4661;836,0964;0;0
189,0941;5100;989,015;0;0
171,7592;4624;905,3309;0;0
170,4241;4670;936,7534;0;0
175,7392;4720;925,279;0;0
195,1753;4895;1057,27;0;0
213,0742;5297;1136,346;0;0
188,5878;5064;1008,092;0;0
175,0676;4885;920,8145;0;0
181,7415;4675;950,1332;0;0
172,4925;4862;928,5274;0;0
178,4128;5051;992,346;0;0
185,7281;4749;976,5333;0;0
176,7089;4889;932,2841;0;0
169,7746;4721;932,1731;0;0
192,387;5077;1009,002;0;0
193,7633;4980;1029,885;0;0
174,5642;4994;904,4045;0;0
158,8866;4567;852,3849;0;0
187,0654;4645;999,4182;0;0
170,4018;4888;959,2885;0;0
169,8339;4623;889,237;0;0
181,7194;4692;950,7181;0;0
163,7376;4936;902,1898;0;0
160,1384;4620;822,2442;0;0
188,8199;4723;991,0985;0;0
170,1465;4908;928,3472;0;0
159,0463;4711;885,6093;0;0
177,7317;4897;955,9861;0;0
149,8314;4603;839,8568;0;0
150,2444;4338;816,3137;0;0
207,0529;5095;1028,67;0;0
174,3919;4740;942,5322;0;0
171,7672;4385;879,1966;0;0
165,9285;4574;879,8495;0;0
161,0358;4685;885,2053;0;0
183,2679;4732;939,7772;0;0
176,5723;4921;980,8687;0;0
166,6839;4132;896,2079;0;0
179,6498;4767;959,8003;0;0
191,7092;4973;972,7932;0;0
185,0657;4705;970,5541;0;0
159,0375;4685;850,3782;0;0
163,7359;4577;827,2105;0;0
212,3868;5127;1082,016;0;0
187,7267;4878;1014,189;0;0
149,9447;4482;815,8781;0;0
175,2896;4864;923,7515;0;0
184,5933;4738;930,5024;0;0
157,3062;4610;846,201;0;0
177,1326;4809;960,8846;0;0
159,2492;4643;854,9908;0;0
177,5394;4647;963,6627;0;0
161,8573;4543;873,0815;0;0
128,527;4143;714,1901;0;0
159,883;4676;883,9467;0;0
173,2262;4769;950,1589;0;0
223,1654;5327;1065,519;0;0
184,5393;4704;941,6919;0;0
178,448;4764;967,049;0;0
239,9285;2553;731,3343;2;0
189,3103;4828;1017,076;0;0
235,8176;5810;1211,048;0;0
202,5968;5230;1066,07;0;0
296,5345;6085;1367,974;0;0
190,9128;5230;1032,549;0;0
157,8384;4435;823,8676;0;0
187,794;4881;1003,503;0;0
190,4786;5279;976,3293;0;0
179,1783;4864;897,0877;0;0
197,1019;5193;1018,81;0;0
276,4371;6066;1363,955;0;0
183,832;5155;984,2784;0;0
189,0753;4948;1015,536;0;0
210,4255;5291;1117,934;0;0
160,6323;4508;804,6395;0;0
900,5319;3502;733,2528;6;15
156,2051;4527;866,5471;0;0
163,0909;4524;862,3154;0;0
183,9739;4924;985,8256;0;0
179,4542;4932;972,6096;0;0
159,2734;4540;814,807;0;0
177,1318;5061;914,4058;0;0
182,3924;4908;996,5275;0;0
160,6887;4653;874,5477;0;0
163,1092;4722;861,347;0;0
