Time;NumMsgSent;Distance;NodesLost
210,519;4356;932,3039;0;0
195,1265;4474;906,0943;0;0
600,032;5889;662,7018;6;4
236,0205;4283;768,06;1;0
185,1877;3789;847,9208;0;0
320,9567;5150;1246,484;1;0
254,7874;4603;946,6084;1;0
168,4485;2907;681,795;1;0
208,8587;3377;701,4717;1;0
210,3576;4200;909,7576;0;0
221,5248;5013;810,4039;0;0
184,2869;1896;594,4305;2;0
207,8755;3408;794,3258;1;0
281,07;4494;1022,924;1;0
254,1497;5114;1177,483;0;0
203,6046;3363;744,6987;1;0
190,2482;4380;826,9211;0;0
236,476;2146;736,2774;2;0
127,8171;1818;449,5872;2;0
171,2621;2969;683,3396;1;0
205,823;4627;928,1912;0;0
172,611;3053;704,4104;1;0
600,0325;9044;1065,104;6;1
298,2931;3795;726,0499;2;0
183,5712;3862;877,644;0;0
276,4529;5688;1344,878;0;0
191,2809;4090;909,0455;0;0
278,9235;3552;717,2882;2;0
212,9848;3652;836,7411;1;0
178,9055;3014;763,3718;1;0
228,9212;4555;830,3464;1;0
176,2148;3099;708,7719;1;0
182,7453;4233;876,0604;0;0
184,114;3863;845,8539;0;0
213,6512;3851;865,0169;1;0
