Time;NumMsgSent;Distance;NodesLost
130,3121;3303;641,0907;0;0
600,0093;6438;1139,867;6;1
225,6179;4047;826,7776;1;0
343,2881;3522;531,3358;3;0
230,8673;5094;932,5479;0;0
261,5612;5910;1166,369;0;0
462,9001;5326;1041,67;2;0
148,764;1984;519,3862;2;0
364,6329;6705;1273,468;0;0
600,0283;9303;754,6822;6;2
170,7058;1161;286,4265;4;0
191,5487;1811;424,7395;3;0
411,7326;7753;1647,678;0;0
253,1455;5602;1042,456;0;0
215,8697;4980;916,5089;0;0
242,1865;3260;638,3293;2;0
307,0096;5222;1073,59;1;0
183,6906;4332;750,3254;0;0
459,1307;7757;1403,253;1;0
268,7049;4314;710,2892;1;0
266,7014;5047;1087,358;0;0
600,022;7539;941,6091;6;1
198,4408;3335;815,4668;1;0
414,5208;6846;1170,362;1;0
237,5815;4000;847,5071;1;0
179,7644;3085;755,0719;1;0
600,0134;7300;706,3719;6;2
272,997;2872;852,4272;2;0
286,2604;4857;991,739;1;0
298,1389;4985;1041,136;1;0
183,931;3470;742,4854;1;0
155,9637;3823;803,8605;0;0
223,4498;5054;951,3639;0;0
192,7271;4289;879,8369;0;0
401,8821;6442;1362,957;1;0
