Time; NumMsgSent; Distance; NodesLost
147,9279;2750;669,6323;1;0
223,7927;3817;931,452;1;0
190,2868;3453;787,9106;1;0
156,4209;3380;622,8337;1;0
168,6186;1546;442,1723;3;0
117,486;3145;568,8536;0;0
123,6531;3028;613,7542;0;0
161,2314;2835;702,005;1;0
154,1291;3816;790,6157;0;0
148,9265;2964;603,4161;1;0
170,6007;3026;700,3976;1;0
192,929;3445;778,2844;1;0
165,4396;3024;681,9932;1;0
193,6247;4556;879,8277;0;0
155,6227;3368;633,5716;1;0
135,4296;2530;591,1857;1;0
140,3407;2639;625,6265;1;0
211,7601;3629;851,7618;1;0
225,0461;394;179,8424;5;0
199,2167;3060;878,0521;1;0
165,1893;3019;708,7145;1;0
142,6771;2643;574,8369;1;0
208,2815;4876;995,2612;0;0
157,0464;2725;691,9624;1;0
178,625;423;150,1868;5;0
260,6841;4754;1001,394;1;0
174,7576;2635;748,5165;1;0
141,5758;2620;594,6584;1;0
152,2487;1375;403,461;3;0
189,9533;3314;821,7803;1;0
152,6049;3707;776,8842;0;0
169,2218;3806;872,0338;0;0
137,7005;1753;438,832;2;0
178,8499;2739;783,2587;1;0
171,8296;3032;757,9706;1;0
242,3595;4573;961,302;1;0
205,1588;3290;881,4393;1;0
156,1735;3571;655,4529;1;0
180,9371;4331;759,5417;0;0
256,5143;5472;1071,536;0;0
201,5097;3417;819,3376;1;0
198,2315;3903;824,3422;1;0
600,0173;9794;774,8629;6;4
169,928;3193;709,141;1;0
