Time; NumMsgSent; Distance; NodesLost
123,2556;1275;492,9773;2;0
158,6862;2829;685,3318;1;0
154,3571;1495;540,1267;2;0
139,3774;3438;680,5974;0;0
220,6868;4503;1102,747;0;0
152,0532;1564;526,1201;2;0
198,2422;3387;807,8103;1;0
215,73;4178;908,5266;1;0
138,1609;2495;624,3878;1;0
183,0977;3050;720,4368;1;0
172,5723;2961;726,7537;1;0
162,7911;2006;608,965;2;0
136,9933;1289;520,4621;2;0
232,8904;4805;1097,519;0;0
135,2215;3443;635,3539;0;0
150,4995;1054;394,4724;3;0
152,2439;2410;689,0463;1;0
171,6494;2468;762,056;1;0
171,3162;2986;699,8889;1;0
209,2783;4357;1022,137;0;0
140,59;1385;513,228;2;0
141,8529;1354;495,7556;2;0
117,5861;3145;572,2665;0;0
166,5968;3997;831,7104;0;0
235,3468;4248;703,5001;2;0
125,4818;1233;464,2394;2;0
138,0377;2229;597,491;1;0
206,441;4173;1049,442;0;0
249,095;3962;993,6975;1;0
149,9289;2357;674,2357;1;0
153,6821;2772;678,239;1;0
179,4341;4202;917,3036;0;0
229,0289;4609;1161,307;0;0
152,3515;1109;376,6415;3;0
154,0298;1620;559,4312;2;0
149,4845;1476;520,8397;2;0
187,2945;4229;934,7644;0;0
170,4132;371;151,6213;5;0
173,0761;3815;813,8272;0;0
260,8783;1538;658,5197;3;0
183,3965;3762;969,0293;0;0
181,1297;3176;757,4877;1;0
161,7731;2050;577,8979;2;0
189,2838;2608;689,97;2;0
158,8934;1953;556,6853;2;0
