Time;NumMsgSent;Distance;NodesLost;Targets_left
146,321;4236;772,7206;0;0
147,7837;4121;739,9708;0;0
138,7645;4236;749,1343;0;0
134,6569;4203;735,7711;0;0
134,7642;4007;737,676;0;0
136,5782;4033;746,8198;0;0
133,2719;3984;739,5967;0;0
134,7865;4007;737,9858;0;0
142,5582;4210;740,6906;0;0
121,761;4070;692,1962;0;0
147,1219;3955;776,0035;0;0
143,0881;3940;770,3944;0;0
127,52;3839;706,7007;0;0
128,1019;3831;712,8846;0;0
144,2343;3947;794,5402;0;0
147,2208;3955;776,0934;0;0
127,986;3769;715,1598;0;0
143,1194;3954;774,8797;0;0
143,4193;3944;737,2064;0;0
147,7857;3960;793,7646;0;0
133,3527;3963;716,8917;0;0
143,3559;3975;766,9052;0;0
126,1185;3867;690,6752;0;0
151,2193;4067;794,483;0;0
146,0204;4027;823,2364;0;0
145,1934;4107;739,3416;0;0
138,6859;4020;750,381;0;0
135,3527;4064;736,5372;0;0
142,5198;4104;759,1102;0;0
141,8199;4042;758,2132;0;0
139,1867;4014;766,8714;0;0
145,5198;4059;762,3434;0;0
162,5889;4250;837,1139;0;0
141,3061;4122;791,4679;0;0
147,2238;3906;744,132;0;0
138,7127;4003;773,6348;0;0
134,7213;3977;723,0101;0;0
157,4883;4040;842,1855;0;0
156,1541;4223;808,7141;0;0
133,9861;3969;717,1013;0;0
143,7015;3944;789,9963;0;0
143,0279;3940;771,1157;0;0
147,1018;3968;803,6315;0;0
143,1537;3939;777,0441;0;0
134,2533;3961;725,5737;0;0
152,8795;4195;781,9908;0;0
136,6675;3961;735,498;0;0
144,4208;4050;777,2269;0;0
149,677;4166;799,8821;0;0
154,6921;4091;825,4625;0;0
