Time;NumMsgSent;Distance;NodesLost;Targets_left
158,2916;3811;567,3431;2;0
206,4207;5058;1048,89;0;0
295,623;5985;1402,243;1;0
167,0637;4580;866,2058;0;0
211,7607;5137;1023,885;0;0
216,4765;5136;1046,339;0;0
234,3925;5350;1134,086;0;0
261,6042;5208;1059,193;1;0
224,3893;5276;1068,004;0;0
198,4244;5024;960,1031;0;0
244,3698;4467;842,0491;2;0
192,3867;4976;1013,88;0;0
228,3916;5301;1116,737;0;0
252,4041;4375;832,9526;2;0
267,9081;5451;1163,741;1;0
253,0744;5680;1217,196;0;0
273,0636;4725;636,5655;3;0
227,7173;5299;1110,01;0;0
232,3776;5472;1080,467;0;0
216,4144;5057;892,2949;1;0
216,3812;5006;937,0395;1;0
205,752;5197;1048,641;0;0
199,0698;4985;990,797;0;0
180,7528;4829;946,3241;0;0
193,7555;4771;867,7099;1;0
195,7119;4888;1027,351;0;0
225,8205;5250;1050,469;0;0
192,4183;4961;969,0453;0;0
191,0339;4619;845,7194;1;0
181,6696;4814;923,8491;0;0
201,7348;4968;1012,631;0;0
204,4515;4791;808,4523;1;0
185,7877;4619;812,7423;1;0
199,0764;4585;869,2142;1;0
187,7561;4954;979,033;0;0
246,5058;5397;1038,023;1;0
190,466;4814;839,9718;1;0
216,5124;5006;924,8057;1;0
209,1467;4814;725,4198;2;0
192,333;4918;815,0904;1;0
240,9208;4388;803,2335;2;0
175,7142;4614;761,0558;1;0
197,0695;5113;982,5454;0;0
218,4077;4930;976,8566;1;0
205,7728;5035;1042,163;0;0
163,7041;4546;849,226;0;0
201,7555;4737;909,4564;1;0
219,0309;5007;929,7357;1;0
208,9083;4927;1040,661;0;0
220,3439;4680;920,9712;1;0
216,4667;4749;760,3616;2;0
196,0432;4771;847,3387;1;0
207,7139;5065;1063,781;0;0
184,3811;4857;937,4131;0;0
201,7813;4998;1021,653;0;0
203,1353;5065;1002,684;0;0
194,4328;5167;989,5173;0;0
215,7719;5160;1106,922;0;0
170,6867;4458;620,7917;2;0
215,8196;5195;1101,493;0;0
196,2603;5013;1031,856;0;0
190,9633;4456;856,6127;1;0
209,7141;4678;914,337;1;0
217,7506;5303;1036,637;0;0
205,6378;4798;992,8196;0;0
183,0023;4731;930,4936;0;0
199,0866;5162;1025,307;0;0
195,6178;4751;807,6581;1;0
273,1032;4233;482,5704;4;0
182,4404;4558;652,0497;0;0
197,063;4922;1047,182;0;0
203,7163;5036;996,5259;0;0
201,5309;4963;850,2343;1;0
203,7222;4916;867,0988;1;0
181,7987;4804;923,4884;0;0
193,0932;4896;968,0997;0;0
205,8432;4837;929,2126;0;0
181,142;4652;887,6769;0;0
196,7696;4948;1000,96;0;0
224,4144;5224;1110,191;0;0
199,5024;4755;879,4236;1;0
207,0352;5166;1036,533;0;0
199,7186;4515;894,156;1;0
195,0217;4907;969,9281;0;0
222,3122;5222;966,2072;1;0
214,3248;4614;916,9164;1;0
185,7095;4652;799,1488;1;0
213,8201;4432;735,4504;2;0
212,9891;5251;1079,983;0;0
194,5956;5072;1006,257;0;0
188,4594;4830;986,0467;0;0
203,7537;5075;1001,701;0;0
186,8884;4863;977,5832;0;0
204,9129;4576;881,6067;1;0
204,9022;4940;1036,165;0;0
215,5499;5254;1117,602;0;0
183,6574;4987;941,9462;0;0
203,0211;5194;989,2625;0;0
216,3097;4999;914,1555;1;0
175,8226;4758;941,1999;0;0
197,7243;5029;989,0214;0;0
211,1338;5066;1044,503;0;0
196,9452;4814;964,7188;0;0
