Time;NumMsgSent;Distance;NodesLost;Targets_left
189,1224;4141;926,4933;0;0
195,072;4774;1016,049;0;0
169,101;4542;925,3586;0;0
178,3878;4627;969,5084;0;0
168,7561;4550;907,6307;0;0
176,3836;4387;878,4203;0;0
189,7431;4754;1003,121;0;0
169,0976;4436;938,8828;0;0
158,3644;4401;867,7665;0;0
181,0416;4118;334,9747;4;0
147,0636;4252;808,061;0;0
144,3688;4170;798,127;0;0
146,3843;3828;264,6136;4;0
153,7188;4298;846,8177;0;0
148,3858;4303;827,0009;0;0
171,0642;4574;931,8267;0;0
177,0445;4649;964,4302;0;0
167,0765;4406;905,3422;0;0
177,721;4554;932,9335;0;0
173,0325;4465;867,1364;0;0
159,7147;4518;883,3402;0;0
146,3965;4158;818,5497;0;0
166,4058;4395;882,7719;0;0
178,4177;4578;949,778;0;0
147,3801;4232;805,6046;0;0
145,0561;4160;799,7803;0;0
173,0541;4538;929,19;0;0
166,3816;4431;902,7494;0;0
187,7259;4779;1024,917;0;0
199,7089;4683;1016,545;0;0
173,0662;4508;930,5155;0;0
146,4231;4156;815,841;0;0
157,7404;4325;886,9374;0;0
159,0815;4258;883,5168;0;0
151,7291;4313;853,009;0;0
190,4013;4770;1000,778;0;0
156,4017;4339;861,1028;0;0
173,0574;4496;911,2933;0;0
180,3863;4520;963,7283;0;0
159,0586;4459;884,2322;0;0
192,4199;4775;994,198;0;0
167,7451;4497;938,7931;0;0
162,9619;4429;859,7974;0;0
162,3974;4228;859,6927;0;0
173,061;4542;950,8054;0;0
167,748;4397;950,9899;0;0
181,9694;4589;965,2908;0;0
155,0894;4274;844,1869;0;0
162,3627;4440;869,1685;0;0
171,7072;4209;589,5101;2;0
177,0447;4555;937,8342;0;0
157,0599;4335;820,5878;0;0
173,7325;4487;898,0106;0;0
166,4735;4436;866,8585;0;0
187,7254;4565;1026,926;0;0
167,1063;4493;925,9976;0;0
177,7303;4607;913,472;0;0
180,3908;4609;966,1051;0;0
164,4291;4429;907,2375;0;0
173,7608;4565;951,5722;0;0
161,204;4219;857,4966;0;0
189,7151;4757;974,8765;0;0
153,7463;4389;856,0139;0;0
175,7411;4591;943,9501;0;0
163,0981;4333;850,4353;0;0
169,0746;4442;898,3017;0;0
167,0834;4410;916,47;0;0
157,0648;4329;834,5807;0;0
185,1049;4339;874,1724;0;0
159,0772;4444;865,5013;0;0
170,3845;4364;921,0515;0;0
153,7607;4448;829,6075;0;0
157,0727;4241;861,4189;0;0
158,3658;4356;851,5701;0;0
161,7044;4254;849,9163;0;0
163,754;4486;911,5298;0;0
175,7358;4424;896,3788;0;0
145,7305;4154;817,6921;0;0
167,0524;4400;899,6387;0;0
191,7532;4537;979,9697;0;0
177,742;4489;978,9964;0;0
152,383;4288;817,0079;0;0
154,4544;4278;812,4847;0;0
249,7258;4361;1069,084;0;0
161,0757;4393;870,6447;0;0
154,3871;4370;859,2427;0;0
180,4065;4252;675,8738;2;0
171,7591;4520;939,2858;0;0
157,7328;4406;853,0947;0;0
162,2908;4443;898,4349;0;0
179,727;4598;956,6826;0;0
155,0444;4274;849,9168;0;0
149,7264;4259;838,6946;0;0
177,6206;4284;783,6713;1;0
155,5641;4302;831,5301;0;0
203,7296;3970;721,5481;2;0
161,7163;4471;887,2524;0;0
157,7172;4264;858,2165;0;0
179,4334;4545;946,3797;0;0
181,0389;4591;915,5552;0;0
