Time;NumMsgSent;Distance;NodesLost;Targets_left
373,1094;2921;293,7538;5;0
197,0796;4911;997,4415;0;0
191,7154;4874;986,4332;0;0
187,7328;4909;947,556;0;0
201,0441;5098;993,6957;0;0
182,4183;4806;923,1216;0;0
220,4095;5272;1071,407;0;0
196,4027;5010;971,274;0;0
195,7337;4983;995,2969;0;0
213,7422;5153;1061,523;0;0
221,0709;5027;1089,328;0;0
243,0573;5191;1035,204;0;0
217,743;5295;1122,588;0;0
202,3992;4961;995,8931;0;0
224,6744;5145;1081,699;0;0
181,7533;4783;909,6728;0;0
191,7329;4985;968,1687;0;0
305,0713;5744;1186,447;0;0
214,4142;5227;1114,408;0;0
178,3784;4737;914,4958;0;0
201,0848;4956;999,5894;0;0
215,7441;5174;1102,698;0;0
187,7721;4850;945,3259;0;0
174,9919;4779;912,3466;0;0
241,1223;5363;1231,721;0;0
215,7905;5231;1059,927;0;0
155,8395;4374;836,0906;0;0
164,4914;4534;877,2783;0;0
205,097;4940;1032,57;0;0
202,3904;4984;1030,52;0;0
255,7359;5345;874,8699;1;0
177,9416;4843;925,3951;0;0
203,8384;5039;977,6556;0;0
220,5108;5296;1102,707;0;0
296,4492;5566;1039,018;1;0
228,352;5212;1102,606;0;0
223,1894;5226;1159,577;0;0
183,1068;4846;932,7236;0;0
203,7388;5333;1022,635;0;0
199,7837;5066;987,2686;0;0
193,154;5067;1012,887;0;0
202,5265;5127;1048,682;0;0
248,4541;5247;848,8584;1;0
222,5392;5302;1076,517;0;0
211,0148;5076;1074,51;0;0
210,3852;5133;1032,015;0;0
188,4481;4616;653,3934;0;0
192,3638;4846;987,7498;0;0
192,3756;4918;991,9572;0;0
184,2631;4867;959,6439;0;0
273,227;5770;1098,065;0;0
269,7465;5606;1114,783;0;0
211,6912;5130;1107,976;0;0
206,361;4980;998,8176;0;0
169,7383;4578;834,2503;0;0
201,673;5044;976,0383;0;0
185,743;4951;955,8828;0;0
191,0305;4908;999,5296;0;0
255,066;5381;1170,391;0;0
207,0999;4957;1018,64;0;0
189,1439;4902;982,7831;0;0
186,4071;4746;991,3588;0;0
281,6334;5403;987,1799;1;0
214,9508;5143;1096,778;0;0
223,0675;5299;1093,704;0;0
191,1925;4920;982,5746;0;0
209,5811;5150;1079,547;0;0
206,4625;4974;988,9064;0;0
187,7407;4722;951,0315;0;0
215,6409;5055;1097,179;0;0
238,4102;5278;1134,682;0;0
195,0038;4932;993,0154;0;0
211,7057;5204;1097,847;0;0
207,1408;5061;1039,685;0;0
199,7519;5114;1037,747;0;0
183,7654;4870;996,7195;0;0
192,9916;4914;977,4117;0;0
214,3683;5065;1067,525;0;0
307,0408;5884;1216,069;0;0
171,0481;4625;901,8815;0;0
201,0238;4979;985,5154;0;0
184,5257;4841;916,347;0;0
179,7243;4721;919,2578;0;0
213,7727;5179;1082,492;0;0
269,1394;5427;1215,723;1;0
188,2107;4917;1002,888;0;0
192,479;4927;980,1593;0;0
218,6538;5193;1137,782;0;0
174,9277;4747;914,2666;0;0
199,8457;5045;1059,459;0;0
200,8761;4958;1060,06;0;0
210,9818;5249;1071,899;0;0
181,7238;4735;929,8391;0;0
213,6697;5116;1092,525;0;0
241,6497;5247;807,9637;1;0
229,7496;5409;1142,706;0;0
191,0252;5012;1008,786;0;0
289,0448;5889;1181,732;0;0
227,7059;5140;1120,268;0;0
213,2223;5225;1088,682;0;0
193,3601;4916;945,3733;0;0
183,7829;4795;968,0187;0;0
195,6736;4913;991,9249;0;0
