Time;NumMsgSent;Distance;NodesLost;Targets_left
172,5193;3208;931,073;0;0
192,2043;3335;1018,514;0;0
253,5311;4489;1271,572;0;0
143,2168;2828;725,7228;0;0
412,5378;6411;2003,859;0;0
189,847;3408;1039,48;0;0
171,8619;3339;964,8259;0;0
196,2027;3616;1045,336;0;0
326,1841;5267;1528,048;0;0
201,8661;3496;1002,837;0;0
377,1919;6241;1608,702;0;0
285,8617;4416;1060,032;1;0
212,8602;3848;1094,349;0;0
224,8708;4075;1220,469;0;0
194,1416;3516;855,8854;0;0
195,238;3366;1047,826;0;0
258,673;4458;1394,528;0;0
256,8676;4536;1376,866;0;0
230,8543;3970;1201,816;0;0
191,2332;3434;1040,028;0;0
199,8626;3727;1065,476;0;0
260,858;4551;1367,99;0;0
241,1923;4333;1324,05;0;0
219,524;3906;1157,099;0;0
207,5227;3723;1141,732;0;0
256,8632;4253;1174,557;0;0
236,8728;4213;1279,02;0;0
215,5811;3867;1081,56;0;0
189,117;3378;957,7471;0;0
256,8714;4316;1339,481;0;0
231,865;4058;1152,561;0;0
269,2035;4631;1432,367;0;0
218,3054;3780;1170,155;0;0
211,8621;3783;1055,932;0;0
250,5533;4200;1336,12;0;0
280,3814;4686;1320,613;0;0
377,8861;5714;1731,931;0;0
184,8628;3485;964,3794;0;0
275,198;4145;1375,372;0;0
164,1967;2986;860,236;0;0
296,8524;5079;1585,876;0;0
269,8575;4486;1406,881;0;0
191,5861;3632;1012,5;0;0
330,851;5102;1235,768;1;0
328,5435;3392;250,7356;5;0
186,6628;3319;948,3412;0;0
199,5958;3705;1110,068;0;0
182,1941;3443;1002,034;0;0
217,7789;3960;1213,471;0;0
329,218;4040;1040,552;2;0
202,532;3704;1066,454;0;0
207,8611;3861;1133,076;0;0
248,2168;4143;1359,232;0;0
228,1822;4100;1155,43;0;0
217,1851;3724;1153,723;0;0
260,204;4577;1460,665;0;0
187,5247;3357;1040,301;0;0
